Date,Index,D12,Rfree,fed_funds,VRP,ICS_ALL,pd,ff12_D,vrp3,sent12_D,ersf,ersf_t1,ersf_D,sent_x_ersf_D
2005-11-30,1249.48,21.96766666666667,0.0032333333333333333,4.0,6.8256,81.6,56.87813908319803,2.0700000000000003,6.413266666666682,-11.200000000000003,3.346946025486304,-0.2712379816670483,5.2828943390760505,-59.168416597651785
2005-12-31,1248.29,22.216,0.003241666666666667,4.16,7.1476,91.5,56.18878285920057,2.0,7.010500000000015,-5.599999999999994,-0.2712379816670483,2.342924035636308,-3.6181840071533524,20.261830440058752
2006-01-31,1280.08,22.405333333333335,0.003533333333333333,4.29,6.9877,91.2,57.13282551773386,2.0100000000000002,6.986966666666682,-4.299999999999997,2.342924035636308,-0.17676549729530053,2.6141620173033564,-11.240896674404425
2006-02-28,1280.66,22.594666666666665,0.0036916666666666664,4.49,7.2603,86.7,56.67974743302255,1.9900000000000002,7.1318666666666815,-7.3999999999999915,-0.17676549729530053,0.8820076757296905,-2.5196895329316087,18.645702543693883
2006-03-31,1294.87,22.784,0.0037583333333333336,4.59,5.1758,88.9,56.83242626404494,1.96,6.474600000000014,-3.6999999999999886,0.8820076757296905,0.9802634412892617,1.058773173024991,-3.9174607401924546
2006-04-30,1310.61,23.001666666666665,0.003833333333333333,4.79,3.9782,87.4,56.97891457140787,2.0,5.471433333333348,-0.29999999999999716,0.9802634412892617,-3.3373865265453135,0.09825576555957116,-0.02947672966787107
2006-05-31,1270.09,23.219333333333335,0.003933333333333333,4.94,10.6306,79.1,54.69967555772488,1.9400000000000004,6.59486666666668,-7.800000000000011,-3.3373865265453135,-0.23673067131724637,-4.317649967834575,33.67766974910974
2006-06-30,1270.2,23.437,0.003991666666666667,4.99,0.0714,84.9,54.19635618893203,1.9500000000000002,4.893400000000014,-11.099999999999994,-0.23673067131724637,0.25128435591945614,3.100655855228067,-34.41727999303153
2006-07-31,1276.66,23.656666666666666,0.004125,5.24,8.5007,84.7,53.96618289418064,1.9800000000000004,6.400900000000014,-11.799999999999997,0.25128435591945614,1.8699444731652113,0.48801502723670254,-5.758577321393089
2006-08-31,1303.82,23.87633333333333,0.0041333333333333335,5.25,4.0997,82.0,54.607212162671544,1.75,4.223933333333347,-7.099999999999994,1.8699444731652113,2.2098031042117277,1.618660117245755,-11.492486832444852
2006-09-30,1335.85,24.095999999999997,0.004008333333333333,5.25,6.9885,85.4,55.438662018592304,1.63,6.529633333333347,8.5,2.2098031042117277,2.8927577114862553,0.33985863104651637,2.888798363895389
2006-10-31,1377.94,24.358666666666664,0.0041,5.25,5.4026,93.6,56.568777710876354,1.4700000000000002,5.496933333333348,19.39999999999999,2.8927577114862553,1.3838961138446595,0.6829546072745276,13.24931938112583
2006-11-30,1400.63,24.621333333333332,0.004116666666666667,5.25,4.3349,92.1,56.88684609552692,1.25,5.575333333333347,10.5,1.3838961138446595,1.0054609056876675,-1.5088615976415958,-15.843046775236756
2006-12-31,1418.3,24.884,0.0040416666666666665,5.24,6.9593,91.7,56.99646359106253,1.08,5.565600000000013,0.20000000000000284,1.0054609056876675,1.1383110844751503,-0.37843520815699194,-0.07568704163139947
2007-01-31,1438.24,25.087333333333333,0.00415,5.25,3.8813,96.9,57.32932954213282,0.96,5.058500000000013,5.700000000000003,1.1383110844751503,-2.4572440699126137,0.13285017878748273,0.757246019088652
2007-02-28,1406.82,25.290666666666667,0.004191666666666667,5.26,12.8325,91.3,55.62605440742303,0.7699999999999996,7.891033333333346,4.599999999999994,-2.4572440699126137,0.7373431569070572,-3.595555154387764,-16.539553710183693
2007-03-31,1420.86,25.494,0.004116666666666667,5.26,0.6281,88.4,55.7331136738056,0.6699999999999999,5.780633333333346,-0.5,0.7373431569070572,4.074078676138234,3.194587226819671,-1.5972936134098354
2007-04-30,1482.37,25.71933333333333,0.004058333333333333,5.25,12.0013,87.1,57.63640840871977,0.45999999999999996,8.487300000000014,-0.30000000000001137,4.074078676138234,3.0066074690454383,3.336735519231177,-1.001020655769391
2007-05-31,1530.62,25.944666666666663,0.003941666666666667,5.25,7.8009,88.3,58.99555464193027,0.3099999999999996,6.810100000000014,9.200000000000003,3.0066074690454383,-2.0233172505259294,-1.067471207092796,-9.820735105253727
2007-06-30,1503.35,26.169999999999998,0.003841666666666667,5.25,10.636,85.3,57.445548337791365,0.2599999999999998,10.14606666666668,0.3999999999999915,-2.0233172505259294,-3.4532995014837113,-5.029924719571367,-2.011969887828504
2007-07-31,1455.27,26.43933333333333,0.004016666666666667,5.26,28.7886,90.4,55.04185682947125,0.019999999999999574,15.741833333333346,5.700000000000003,-3.4532995014837113,1.0893014507426273,-1.429982250957782,-8.150898830459361
2007-08-31,1473.99,26.708666666666666,0.0035,5.02,-1.5016,83.4,55.18770436562414,-0.23000000000000043,12.641000000000012,1.4000000000000057,1.0893014507426273,3.4077559831930158,4.542600952226339,6.3596413331169
2007-09-30,1526.75,26.978,0.003241666666666667,4.94,11.9168,83.4,56.59240862925346,-0.3099999999999996,13.067933333333349,-2.0,3.4077559831930158,1.305857122063948,2.3184545324503887,-4.636909064900777
2007-10-31,1549.38,27.229333333333333,0.00325,4.76,11.6295,80.9,56.90113602977182,-0.4900000000000002,7.348233333333348,-12.699999999999989,1.305857122063948,-4.529037740544252,-2.101898861129068,26.694115536339137
2007-11-30,1481.14,27.480666666666664,0.002725,4.49,2.8071,76.1,53.89752795905001,-0.7599999999999998,8.784466666666683,-16.0,-4.529037740544252,-0.9568204221073144,-5.8348948626082,93.3583178017312
2007-12-31,1468.36,27.732,0.0025,4.24,18.1362,75.5,52.94821866435886,-1.0,10.857600000000014,-16.200000000000003,-0.9568204221073144,-6.18704938389314,3.572217318436938,-57.8699205586784
2008-01-31,1378.55,27.921999999999997,0.0022916666666666667,3.94,24.1685,78.4,49.37146336222334,-1.31,15.037266666666682,-18.5,-6.18704938389314,-3.4828458646161917,-5.230228961785826,96.75923579303779
2008-02-29,1330.63,28.112,0.0017666666666666666,2.98,26.232,70.8,47.3331673306773,-2.28,22.84556666666668,-20.5,-3.4828458646161917,-0.5237114374394094,2.7042035192769487,-55.43617214517745
2008-03-31,1322.7,28.302,0.00105,2.61,3.2104,69.5,46.73521305914777,-2.65,17.870300000000015,-18.900000000000006,-0.5237114374394094,4.82633903295447,2.9591344271767825,-55.92764067364121
2008-04-30,1385.59,28.438666666666666,0.001075,2.28,13.4642,62.6,48.72204510291153,-2.97,14.302200000000015,-24.499999999999993,4.82633903295447,1.0951088605656287,5.35005047039388,-131.07623652465003
2008-05-31,1400.38,28.575333333333333,0.0014416666666666666,1.98,13.2069,59.8,49.0066024310011,-3.27,9.960500000000016,-28.5,1.0951088605656287,-8.580379777869826,-3.7312301723888415,106.34005991308199
2008-06-30,1280.0,28.712000000000003,0.0015500000000000002,2.0,24.1558,56.4,44.58066313736416,-3.25,16.942300000000014,-28.9,-8.580379777869826,-0.9345355902777747,-9.675488638435455,279.6216216507846
2008-07-31,1267.38,28.759333333333338,0.0013583333333333331,2.01,2.866,61.2,44.06847632073066,-3.25,13.409566666666683,-29.200000000000003,-0.9345355902777747,1.2651278665873908,7.6458441875920515,-223.25865027768793
2008-08-31,1282.83,28.80666666666667,0.0014333333333333333,2.0,15.7629,63.0,44.53239990742883,-3.0199999999999996,14.261566666666683,-20.400000000000006,1.2651278665873908,-8.985874843120282,2.1996634568651654,-44.87313452004938
2008-09-30,1166.36,28.854000000000003,0.0009416666666666666,1.81,-9.4708,70.3,40.42281832674845,-3.1300000000000003,3.0527000000000157,-13.100000000000009,-8.985874843120282,-16.793244786248565,-10.251002709707674,134.2881354971706
2008-10-31,968.75,28.698333333333334,0.0005583333333333333,0.97,18.5638,57.6,33.75631569777571,-3.79,8.285300000000015,-23.300000000000004,-16.793244786248565,-7.255208243727601,-7.807369943128283,181.911719674889
2008-11-30,896.24,28.54266666666667,0.00015833333333333332,0.39,8.306,55.3,31.400009342738354,-4.1000000000000005,5.799666666666681,-20.799999999999997,-7.255208243727601,1.0436018625963288,9.538036542520963,-198.391160084436
2008-12-31,903.25,28.387,2.4999999999999998e-05,0.16,11.3457,60.1,31.819142565258744,-4.08,12.738500000000016,-15.399999999999999,1.0436018625963288,-8.31815258172648,8.29881010632393,-127.80167563738851
2009-01-31,825.88,28.009666666666668,0.00010833333333333333,0.15,70.822,61.2,29.485534755858094,-3.79,30.157900000000016,-17.200000000000003,-8.31815258172648,-10.73930541429209,-9.36175444432281,161.02217644235233
2009-02-28,735.09,27.632333333333335,0.00025,0.22,77.8161,56.3,26.602530851538656,-2.76,53.327933333333355,-14.5,-10.73930541429209,8.831926600824387,-2.4211528325656104,35.10671607220135
2009-03-31,797.87,27.255000000000003,0.000175,0.18,31.003,57.3,29.274261603375525,-2.4299999999999997,59.880366666666696,-12.200000000000003,8.831926600824387,9.658055628666874,19.57123201511648,-238.7690305844211
2009-04-30,872.81,26.701333333333338,0.00013333333333333334,0.15,38.9557,65.1,32.68788075501847,-2.13,49.25826666666669,2.499999999999993,9.658055628666874,5.542792901344196,0.8261290278424873,2.0653225696062125
2009-05-31,919.14,26.14766666666667,0.00015,0.18,21.9618,68.7,35.151893731754264,-1.8,30.640166666666698,8.900000000000006,5.542792901344196,0.23663014702149848,-4.115262727322678,-36.62583827317186
2009-06-30,919.32,25.594,0.00015,0.21,24.9186,70.8,35.919356099085725,-1.79,28.61203333333336,14.399999999999999,0.23663014702149848,7.6260613883691795,-5.306162754322697,-76.40874366224683
2009-07-31,987.48,25.029666666666667,0.00015,0.16,26.3099,66.0,39.45238317196926,-1.8499999999999999,24.396766666666696,4.799999999999997,7.6260613883691795,3.548313361058227,7.389431241347681,35.46926995846884
2009-08-31,1020.62,24.465333333333334,0.00014166666666666668,0.16,32.887,65.7,41.71698730176031,-1.84,28.03850000000003,2.700000000000003,3.548313361058227,3.7574893692069358,-4.077748027310952,-11.009919673739583
2009-09-30,1057.08,23.901,9.999999999999999e-05,0.15,36.5844,73.5,44.22743818250282,-1.6600000000000001,31.927100000000035,3.200000000000003,3.7574893692069358,-1.7975430956555318,0.20917600814870863,0.6693632260758682
2009-10-31,1036.19,23.40233333333333,5.833333333333334e-05,0.12,54.9727,70.6,44.27720882533082,-0.85,41.4813666666667,12.999999999999993,-1.7975430956555318,5.916430799906925,-5.555032464862467,-72.21542204321203
2009-11-30,1095.63,22.903666666666666,4.1666666666666665e-05,0.12,24.6335,67.4,47.836445401755185,-0.27,38.73020000000003,12.100000000000009,5.916430799906925,1.9433049554441837,7.713973895562456,93.33908413630579
2009-12-31,1115.1,22.405,4.1666666666666665e-05,0.12,25.778,72.5,49.77014059361749,-0.04000000000000001,35.1280666666667,12.399999999999999,1.9433049554441837,-3.5362378560966063,-3.973125844462741,-49.26676047133798
2010-01-31,1073.87,22.238,4.9999999999999996e-05,0.11,35.8021,74.4,48.28986419642054,-0.039999999999999994,28.7378666666667,13.200000000000003,-3.5362378560966063,3.013475738838666,-5.4795428115407905,-72.32996511233846
2010-02-28,1104.49,22.070999999999998,9.166666666666667e-05,0.13,8.9274,73.6,50.042589823750625,-0.09,23.502500000000037,17.299999999999997,3.013475738838666,6.032401568446387,6.549713594935272,113.31004519238019
2010-03-31,1169.43,21.904,0.000125,0.16,16.6244,73.6,53.38887874360848,-0.01999999999999999,20.45130000000004,16.299999999999997,6.032401568446387,1.6190027430267566,3.018925829607721,49.20849102260584
2010-04-30,1186.69,21.94833333333333,0.00013333333333333334,0.2,27.6992,72.2,54.0674310881616,0.05000000000000002,17.75033333333337,7.1000000000000085,1.6190027430267566,-8.056485106566258,-4.41339882541963,-31.335131660479412
